epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,282.307,0.92455,0.47755,0.9587,0.76233,0.67438,0.70445,0.49265,1.64684,1.16242,1.94331,8.90094e-05,8.90094e-05,8.90094e-05
67,285.593,0.95647,0.48801,0.97482,0.89262,0.63768,0.70418,0.49389,1.65371,1.20762,1.94113,8.33788e-05,8.33788e-05,8.33788e-05
68,289.981,0.95833,0.47917,0.97397,0.89321,0.64467,0.71162,0.49863,1.65928,1.29965,1.93884,7.77481e-05,7.77481e-05,7.77481e-05
69,294.299,0.92856,0.49457,0.96073,0.8918,0.64331,0.70716,0.49512,1.66393,1.32717,1.9459,7.21175e-05,7.21175e-05,7.21175e-05
70,297.967,0.93384,0.4731,0.96828,0.77509,0.67438,0.70299,0.4958,1.62843,1.41711,1.90062,6.64869e-05,6.64869e-05,6.64869e-05
71,307.973,0.91146,0.49294,0.98105,0.8402,0.67438,0.70696,0.49848,1.64498,1.38429,1.93312,6.08563e-05,6.08563e-05,6.08563e-05
72,311.867,0.86142,0.46908,0.95004,0.78221,0.66719,0.72584,0.51817,1.63796,1.30243,1.92986,5.52256e-05,5.52256e-05,5.52256e-05
73,315.702,0.86312,0.44447,0.95098,0.78532,0.66755,0.72585,0.51548,1.6323,1.28394,1.93209,4.9595e-05,4.9595e-05,4.9595e-05
74,320.18,0.89963,0.45381,0.95249,0.79046,0.67414,0.72609,0.51201,1.62494,1.18788,1.94193,4.39644e-05,4.39644e-05,4.39644e-05
75,325.153,0.86389,0.44389,0.94383,0.79008,0.67438,0.71597,0.50755,1.65822,1.17124,1.96946,3.83337e-05,3.83337e-05,3.83337e-05
76,328.779,0.83007,0.44384,0.95297,0.79008,0.66849,0.71767,0.50621,1.66223,1.20582,1.96035,3.27031e-05,3.27031e-05,3.27031e-05
77,331.965,0.83292,0.42949,0.9272,0.79289,0.66924,0.7206,0.50347,1.65596,1.17277,1.96603,2.70725e-05,2.70725e-05,2.70725e-05
78,336.952,0.8518,0.44717,0.94257,0.79041,0.66901,0.71882,0.50118,1.68673,1.25209,1.9725,2.14419e-05,2.14419e-05,2.14419e-05
79,340.481,0.86171,0.43904,0.96312,0.79143,0.64969,0.71037,0.49587,1.68827,1.24897,1.97546,1.58113e-05,1.58113e-05,1.58113e-05
80,343.772,0.81765,0.44516,0.94413,0.79386,0.64969,0.70898,0.49618,1.68882,1.25856,1.97423,1.01806e-05,1.01806e-05,1.01806e-05
